"Organization","ID/CDC","Administration","Tested Grade","STAAR - Mathematics|Tests Taken","STAAR - Mathematics|Average Scale Score","STAAR - Mathematics|Performance Levels|Did Not Meet|Count","STAAR - Mathematics|Performance Levels|Did Not Meet|Percentage","STAAR - Mathematics|Performance Levels|Approaches and Above|Count","STAAR - Mathematics|Performance Levels|Approaches and Above|Percentage","STAAR - Mathematics|Performance Levels|Meets and Above|Count","STAAR - Mathematics|Performance Levels|Meets and Above|Percentage","STAAR - Mathematics|Performance Levels|Masters|Count","STAAR - Mathematics|Performance Levels|Masters|Percentage","STAAR Spanish - Mathematics|Tests Taken","STAAR Spanish - Mathematics|Average Scale Score","STAAR Spanish - Mathematics|Performance Levels|Did Not Meet|Count","STAAR Spanish - Mathematics|Performance Levels|Did Not Meet|Percentage","STAAR Spanish - Mathematics|Performance Levels|Approaches and Above|Count","STAAR Spanish - Mathematics|Performance Levels|Approaches and Above|Percentage","STAAR Spanish - Mathematics|Performance Levels|Meets and Above|Count","STAAR Spanish - Mathematics|Performance Levels|Meets and Above|Percentage","STAAR Spanish - Mathematics|Performance Levels|Masters|Count","STAAR Spanish - Mathematics|Performance Levels|Masters|Percentage"
"QUITMAN ISD","250904","Spring 2025","3","90","1479","19","21","71","79","43","48","16","18","0","","","","","","","","",""
"QUITMAN ISD","250904","Spring 2025","5","97","1619","25","26","72","74","44","45","15","15","0","","","","","","","","",""
"QUITMAN ISD","250904","Spring 2025","8","85","1840","25","29","60","71","37","44","10","12","","","","","","","","","",""
"QUITMAN ISD","250904","Spring 2024","3","84","1472","20","24","64","76","42","50","14","17","0","","","","","","","","",""
"QUITMAN ISD","250904","Spring 2024","5","94","1571","39","41","55","59","29","31","4","4","0","","","","","","","","",""
"QUITMAN ISD","250904","Spring 2024","8","87","1892","19","22","68","78","45","52","21","24","","","","","","","","","",""
"QUITMAN ISD","250904","Spring 2023","3","90","1508","10","11","80","89","61","68","21","23","0","","","","","","","","",""
"QUITMAN ISD","250904","Spring 2023","5","97","1635","15","15","82","85","49","51","17","18","0","","","","","","","","",""
"QUITMAN ISD","250904","Spring 2023","8","77","1866","17","22","60","78","41","53","12","16","","","","","","","","","",""
"RAINS ISD","190903","Spring 2025","3","99","1426","37","37","62","63","37","37","9","9","0","","","","","","","","",""
"RAINS ISD","190903","Spring 2025","5","129","1575","42","33","87","67","34","26","11","9","2","","","","","","","","",""
"RAINS ISD","190903","Spring 2025","8","102","1842","25","25","77","75","46","45","10","10","","","","","","","","","",""
"RAINS ISD","190903","Spring 2024","3","114","1361","60","53","54","47","12","11","2","2","0","","","","","","","","",""
"RAINS ISD","190903","Spring 2024","5","119","1610","29","24","90","76","58","49","10","8","0","","","","","","","","",""
"RAINS ISD","190903","Spring 2024","8","127","1787","50","39","77","61","28","22","4","3","","","","","","","","","",""
"RAINS ISD","190903","Spring 2023","3","128","1379","61","48","67","52","25","20","8","6","1","","","","","","","","",""
"RAINS ISD","190903","Spring 2023","5","125","1557","36","29","89","71","38","30","7","6","1","","","","","","","","",""
"RAINS ISD","190903","Spring 2023","8","140","1842","34","24","106","76","57","41","14","10","","","","","","","","","",""
"RALLS ISD","054903","Spring 2025","3","24","1325","18","75","6","25","3","13","1","4","0","","","","","","","","",""
"RALLS ISD","054903","Spring 2025","5","21","1496","14","67","7","33","1","5","1","5","0","","","","","","","","",""
"RALLS ISD","054903","Spring 2025","8","32","1759","19","59","13","41","5","16","0","0","","","","","","","","","",""
"RALLS ISD","054903","Spring 2024","3","35","1333","20","57","15","43","3","9","0","0","0","","","","","","","","",""
"RALLS ISD","054903","Spring 2024","5","22","1521","11","50","11","50","5","23","1","5","0","","","","","","","","",""
"RALLS ISD","054903","Spring 2024","8","35","1773","15","43","20","57","8","23","2","6","","","","","","","","","",""
"RALLS ISD","054903","Spring 2023","3","22","1326","14","64","8","36","0","0","0","0","0","","","","","","","","",""
"RALLS ISD","054903","Spring 2023","5","30","1551","13","43","17","57","7","23","2","7","0","","","","","","","","",""
"RALLS ISD","054903","Spring 2023","8","34","1790","11","32","23","68","12","35","2","6","","","","","","","","","",""
"RAMIREZ CSD","066005","Spring 2025","3","6","1516","0","0","6","100","2","33","1","17","0","","","","","","","","",""
"RAMIREZ CSD","066005","Spring 2025","5","3","","","","","","","","","","0","","","","","","","","",""
"RAMIREZ CSD","066005","Spring 2024","3","3","","","","","","","","","","0","","","","","","","","",""
"RAMIREZ CSD","066005","Spring 2024","5","2","","","","","","","","","","0","","","","","","","","",""
"RAMIREZ CSD","066005","Spring 2023","3","3","","","","","","","","","","0","","","","","","","","",""
"RAMIREZ CSD","066005","Spring 2023","5","1","","","","","","","","","","0","","","","","","","","",""
"RANCH ACADEMY","234801","Spring 2025","8","7","1636","7","100","0","0","0","0","0","0","","","","","","","","","",""
"RANCH ACADEMY","234801","Spring 2024","8","5","1753","4","80","1","20","1","20","1","20","","","","","","","","","",""
"RANCH ACADEMY","234801","Spring 2023","8","12","1734","7","58","5","42","2","17","0","0","","","","","","","","","",""
"RANDOLPH FIELD ISD","015906","Spring 2025","3","101","1582","8","8","93","92","79","78","42","42","0","","","","","","","","",""
"RANDOLPH FIELD ISD","015906","Spring 2025","5","112","1805","2","2","110","98","97","87","54","48","0","","","","","","","","",""
"RANDOLPH FIELD ISD","015906","Spring 2025","8","117","1944","12","10","105","90","83","71","35","30","","","","","","","","","",""
"RANDOLPH FIELD ISD","015906","Spring 2024","3","94","1494","17","18","77","82","54","57","16","17","0","","","","","","","","",""
"RANDOLPH FIELD ISD","015906","Spring 2024","5","102","1743","5","5","97","95","82","80","36","35","0","","","","","","","","",""
"RANDOLPH FIELD ISD","015906","Spring 2024","8","151","1912","11","7","140","93","93","62","40","26","","","","","","","","","",""
"RANDOLPH FIELD ISD","015906","Spring 2023","3","110","1521","11","10","99","90","69","63","36","33","0","","","","","","","","",""
"RANDOLPH FIELD ISD","015906","Spring 2023","5","117","1736","5","4","112","96","90","77","49","42","0","","","","","","","","",""
"RANDOLPH FIELD ISD","015906","Spring 2023","8","97","1923","18","19","79","81","53","55","31","32","","","","","","","","","",""
"RANGER ISD","067907","Spring 2025","3","20","1401","7","35","13","65","7","35","2","10","0","","","","","","","","",""
"RANGER ISD","067907","Spring 2025","5","19","1525","12","63","7","37","3","16","1","5","0","","","","","","","","",""
"RANGER ISD","067907","Spring 2025","8","28","1820","15","54","13","46","11","39","4","14","","","","","","","","","",""
"RANGER ISD","067907","Spring 2024","3","23","1331","15","65","8","35","2","9","0","0","0","","","","","","","","",""
"RANGER ISD","067907","Spring 2024","5","20","1550","9","45","11","55","5","25","2","10","0","","","","","","","","",""
"RANGER ISD","067907","Spring 2024","8","28","1732","19","68","9","32","0","0","0","0","","","","","","","","","",""
"RANGER ISD","067907","Spring 2023","3","21","1395","9","43","12","57","4","19","2","10","0","","","","","","","","",""
"RANGER ISD","067907","Spring 2023","5","22","1592","3","14","19","86","6","27","1","5","0","","","","","","","","",""
"RANGER ISD","067907","Spring 2023","8","10","1714","7","70","3","30","0","0","0","0","","","","","","","","","",""
"RANKIN ISD","231902","Spring 2025","3","28","1457","8","29","20","71","11","39","4","14","0","","","","","","","","",""
"RANKIN ISD","231902","Spring 2025","5","18","1757","3","17","15","83","12","67","6","33","1","","","","","","","","",""
"RANKIN ISD","231902","Spring 2025","8","22","1958","1","5","21","95","16","73","7","32","","","","","","","","","",""
"RANKIN ISD","231902","Spring 2024","3","18","1432","7","39","11","61","5","28","3","17","0","","","","","","","","",""
"RANKIN ISD","231902","Spring 2024","5","24","1627","2","8","22","92","10","42","3","13","0","","","","","","","","",""
"RANKIN ISD","231902","Spring 2024","8","29","1979","1","3","28","97","24","83","11","38","","","","","","","","","",""
"RANKIN ISD","231902","Spring 2023","3","18","1521","2","11","16","89","13","72","5","28","0","","","","","","","","",""
"RANKIN ISD","231902","Spring 2023","5","23","1689","2","9","21","91","15","65","5","22","0","","","","","","","","",""
"RANKIN ISD","231902","Spring 2023","8","14","2042","1","7","13","93","11","79","8","57","","","","","","","","","",""
"RAPOPORT ACADEMY PUBLIC SCHOOL","161802","Spring 2025","3","67","1398","30","45","37","55","17","25","6","9","0","","","","","","","","",""
"RAPOPORT ACADEMY PUBLIC SCHOOL","161802","Spring 2025","5","64","1516","39","61","25","39","12","19","3","5","0","","","","","","","","",""
"RAPOPORT ACADEMY PUBLIC SCHOOL","161802","Spring 2025","8","58","1810","22","38","36","62","17","29","3","5","","","","","","","","","",""
"RAPOPORT ACADEMY PUBLIC SCHOOL","161802","Spring 2024","3","66","1382","36","55","30","45","11","17","4","6","0","","","","","","","","",""
"RAPOPORT ACADEMY PUBLIC SCHOOL","161802","Spring 2024","5","68","1516","38","56","30","44","9","13","2","3","0","","","","","","","","",""
"RAPOPORT ACADEMY PUBLIC SCHOOL","161802","Spring 2024","8","46","1769","15","33","31","67","4","9","0","0","","","","","","","","","",""
"RAPOPORT ACADEMY PUBLIC SCHOOL","161802","Spring 2023","3","68","1349","41","60","27","40","10","15","3","4","0","","","","","","","","",""
"RAPOPORT ACADEMY PUBLIC SCHOOL","161802","Spring 2023","5","65","1511","39","60","26","40","9","14","3","5","0","","","","","","","","",""
"RAPOPORT ACADEMY PUBLIC SCHOOL","161802","Spring 2023","8","41","1806","11","27","30","73","11","27","2","5","","","","","","","","","",""
"RAUL YZAGUIRRE SCHOOLS FOR SUCCESS","101806","Spring 2025","3","119","1507","25","21","94","79","68","57","31","26","2","","","","","","","","",""
"RAUL YZAGUIRRE SCHOOLS FOR SUCCESS","101806","Spring 2025","5","119","1716","19","16","100","84","75","63","38","32","0","","","","","","","","",""
"RAUL YZAGUIRRE SCHOOLS FOR SUCCESS","101806","Spring 2025","8","200","1830","69","35","131","66","80","40","21","11","","","","","","","","","",""
"RAUL YZAGUIRRE SCHOOLS FOR SUCCESS","101806","Spring 2024","3","114","1451","25","22","89","78","47","41","10","9","0","","","","","","","","",""
"RAUL YZAGUIRRE SCHOOLS FOR SUCCESS","101806","Spring 2024","5","97","1731","11","11","86","89","67","69","38","39","0","","","","","","","","",""
"RAUL YZAGUIRRE SCHOOLS FOR SUCCESS","101806","Spring 2024","8","94","1830","23","24","71","76","34","36","4","4","","","","","","","","","",""
"RAUL YZAGUIRRE SCHOOLS FOR SUCCESS","101806","Spring 2023","3","106","1466","18","17","88","83","56","53","14","13","0","","","","","","","","",""
"RAUL YZAGUIRRE SCHOOLS FOR SUCCESS","101806","Spring 2023","5","110","1672","15","14","95","86","65","59","29","26","0","","","","","","","","",""
"RAUL YZAGUIRRE SCHOOLS FOR SUCCESS","101806","Spring 2023","8","93","1808","27","29","66","71","27","29","3","3","","","","","","","","","",""
"RAYMONDVILLE ISD","245903","Spring 2025","3","134","1496","28","21","106","79","80","60","29","22","1","","","","","","","","",""
"RAYMONDVILLE ISD","245903","Spring 2025","5","132","1697","14","11","118","89","85","64","36","27","0","","","","","","","","",""
"RAYMONDVILLE ISD","245903","Spring 2025","8","130","1924","9","7","121","93","91","70","23","18","","","","","","","","","",""
"RAYMONDVILLE ISD","245903","Spring 2024","3","124","1458","39","31","85","69","54","44","19","15","0","","","","","","","","",""
"RAYMONDVILLE ISD","245903","Spring 2024","5","126","1717","10","8","116","92","88","70","37","29","0","","","","","","","","",""
"RAYMONDVILLE ISD","245903","Spring 2024","8","130","1933","11","8","119","92","86","66","37","28","","","","","","","","","",""
"RAYMONDVILLE ISD","245903","Spring 2023","3","138","1447","32","23","106","77","56","41","21","15","1","","","","","","","","",""
"RAYMONDVILLE ISD","245903","Spring 2023","5","117","1665","14","12","103","88","72","62","27","23","0","","","","","","","","",""
"RAYMONDVILLE ISD","245903","Spring 2023","8","129","1901","12","9","117","91","88","68","21","16","","","","","","","","","",""
"REAGAN COUNTY ISD","192901","Spring 2025","3","58","1422","21","36","37","64","23","40","3","5","0","","","","","","","","",""
"REAGAN COUNTY ISD","192901","Spring 2025","5","72","1530","39","54","33","46","19","26","4","6","1","","","","","","","","",""
"REAGAN COUNTY ISD","192901","Spring 2025","8","46","1796","21","46","25","54","15","33","2","4","","","","","","","","","",""
"REAGAN COUNTY ISD","192901","Spring 2024","3","56","1405","21","38","35","63","17","30","1","2","1","","","","","","","","",""
"REAGAN COUNTY ISD","192901","Spring 2024","5","66","1544","31","47","35","53","15","23","2","3","1","","","","","","","","",""
"REAGAN COUNTY ISD","192901","Spring 2024","8","53","1854","10","19","43","81","24","45","4","8","","","","","","","","","",""
"REAGAN COUNTY ISD","192901","Spring 2023","3","65","1428","17","26","48","74","21","32","7","11","0","","","","","","","","",""
"REAGAN COUNTY ISD","192901","Spring 2023","5","48","1580","17","35","31","65","19","40","4","8","1","","","","","","","","",""
"REAGAN COUNTY ISD","192901","Spring 2023","8","49","1874","10","20","39","80","30","61","8","16","","","","","","","","","",""
"RED LICK ISD","019911","Spring 2025","3","62","1587","2","3","60","97","51","82","27","44","0","","","","","","","","",""
"RED LICK ISD","019911","Spring 2025","5","74","1672","11","15","63","85","43","58","18","24","1","","","","","","","","",""
"RED LICK ISD","019911","Spring 2025","8","46","1881","8","17","38","83","22","48","8","17","","","","","","","","","",""
"RED LICK ISD","019911","Spring 2024","3","51","1534","3","6","48","94","34","67","14","27","0","","","","","","","","",""
"RED LICK ISD","019911","Spring 2024","5","54","1655","6","11","48","89","30","56","11","20","0","","","","","","","","",""
"RED LICK ISD","019911","Spring 2024","8","49","1907","9","18","40","82","30","61","12","24","","","","","","","","","",""
"RED LICK ISD","019911","Spring 2023","3","68","1581","2","3","66","97","60","88","31","46","0","","","","","","","","",""
"RED LICK ISD","019911","Spring 2023","5","69","1582","15","22","54","78","23","33","2","3","0","","","","","","","","",""
"RED LICK ISD","019911","Spring 2023","8","54","1947","3","6","51","94","41","76","16","30","","","","","","","","","",""
"RED OAK ISD","070911","Spring 2025","3","450","1427","151","34","299","66","162","36","53","12","1","","","","","","","","",""
"RED OAK ISD","070911","Spring 2025","5","479","1635","121","25","358","75","205","43","100","21","6","1503","3","50","3","50","0","0","0","0"
"RED OAK ISD","070911","Spring 2025","8","512","1837","163","32","349","68","224","44","63","12","","","","","","","","","",""
"RED OAK ISD","070911","Spring 2024","3","465","1434","147","32","318","68","173","37","46","10","4","","","","","","","","",""
"RED OAK ISD","070911","Spring 2024","5","482","1653","96","20","386","80","267","55","99","21","5","1495","3","60","2","40","1","20","0","0"
"RED OAK ISD","070911","Spring 2024","8","564","1811","186","33","378","67","178","32","29","5","","","","","","","","","",""
"RED OAK ISD","070911","Spring 2023","3","419","1439","124","30","295","70","169","40","54","13","4","","","","","","","","",""
"RED OAK ISD","070911","Spring 2023","5","469","1646","75","16","394","84","252","54","86","18","2","","","","","","","","",""
"RED OAK ISD","070911","Spring 2023","8","590","1821","167","28","423","72","197","33","48","8","","","","","","","","","",""
"REDWATER ISD","019906","Spring 2025","3","72","1512","9","13","63","88","49","68","15","21","0","","","","","","","","",""
"REDWATER ISD","019906","Spring 2025","5","81","1625","20","25","61","75","36","44","17","21","0","","","","","","","","",""
"REDWATER ISD","019906","Spring 2025","8","87","1968","5","6","82","94","68","78","30","34","","","","","","","","","",""
"REDWATER ISD","019906","Spring 2024","3","71","1476","13","18","58","82","34","48","11","15","0","","","","","","","","",""
"REDWATER ISD","019906","Spring 2024","5","80","1674","6","8","74","93","44","55","14","18","0","","","","","","","","",""
"REDWATER ISD","019906","Spring 2024","8","92","1937","7","8","85","92","74","80","23","25","","","","","","","","","",""
